datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
1/18/11 12:00,1,0,1,2,8.2,9.09,86,22.0028,0,3,3
1/18/11 13:00,1,0,1,2,8.2,9.85,86,15.0013,0,22,22
1/18/11 14:00,1,0,1,2,9.02,11.365,80,11.0014,2,26,28
1/18/11 15:00,1,0,1,2,9.02,11.365,87,11.0014,3,32,35
1/18/11 16:00,1,0,1,2,9.02,11.365,87,12.998,0,61,61
1/18/11 17:00,1,0,1,2,9.02,11.365,82,12.998,1,124,125
1/18/11 18:00,1,0,1,2,9.02,11.365,80,11.0014,1,132,133
1/18/11 19:00,1,0,1,2,9.02,11.365,80,8.9981,1,98,99
1/18/11 20:00,1,0,1,2,9.02,13.635,87,0,0,83,83
1/18/11 21:00,1,0,1,2,9.02,12.12,93,7.0015,0,41,41
1/18/11 22:00,1,0,1,2,9.02,12.88,93,6.0032,0,33,33
1/18/11 23:00,1,0,1,2,9.02,13.635,93,0,1,19,20
1/19/11 0:00,1,0,1,2,9.02,13.635,93,0,0,3,3
1/19/11 1:00,1,0,1,3,9.02,11.365,93,8.9981,1,6,7
1/19/11 2:00,1,0,1,3,9.02,11.365,93,8.9981,0,3,3
1/19/11 4:00,1,0,1,3,9.02,11.365,93,8.9981,1,1,2
1/19/11 5:00,1,0,1,2,9.02,12.88,93,6.0032,0,7,7
1/19/11 6:00,1,0,1,2,9.02,12.88,93,6.0032,0,32,32
1/19/11 7:00,1,0,1,2,9.84,12.88,92,7.0015,1,89,90
1/19/11 8:00,1,0,1,2,9.84,12.88,93,7.0015,1,196,197
1/19/11 9:00,1,0,1,2,9.84,12.88,93,7.0015,2,107,109
1/19/11 10:00,1,0,1,2,10.66,13.635,93,8.9981,1,46,47
1/19/11 11:00,1,0,1,2,11.48,15.15,87,6.0032,5,47,52
1/19/11 12:00,1,0,1,2,12.3,15.91,81,6.0032,5,65,70
1/19/11 13:00,1,0,1,1,16.4,20.455,62,19.0012,11,67,78
1/19/11 14:00,1,0,1,1,16.4,20.455,58,16.9979,7,68,75
1/19/11 15:00,1,0,1,1,16.4,20.455,54,19.0012,4,78,82
1/19/11 16:00,1,0,1,1,15.58,19.695,58,26.0027,10,94,104
1/19/11 17:00,1,0,1,1,14.76,16.665,57,22.0028,7,190,197
1/19/11 18:00,1,0,1,1,13.94,15.91,61,19.0012,5,156,161
1/19/11 19:00,1,0,1,1,13.12,14.395,57,27.9993,4,108,112
1/19/11 20:00,1,0,1,1,13.12,15.15,49,19.9995,2,74,76
1/19/11 21:00,1,0,1,1,13.12,14.395,49,27.9993,4,55,59
1/19/11 22:00,1,0,1,1,12.3,15.15,52,11.0014,6,53,59
1/19/11 23:00,1,0,1,1,12.3,13.635,52,31.0009,1,27,28
2/18/11 0:00,1,0,1,1,18.04,21.97,72,19.0012,12,20,32
2/18/11 1:00,1,0,1,1,18.04,21.97,72,15.0013,1,7,8
2/18/11 2:00,1,0,1,1,18.04,21.97,72,19.0012,2,5,7
2/18/11 3:00,1,0,1,1,18.86,22.725,67,16.9979,2,6,8
2/18/11 4:00,1,0,1,1,18.86,22.725,67,16.9979,0,1,1
2/18/11 5:00,1,0,1,2,18.86,22.725,67,7.0015,1,6,7
2/18/11 6:00,1,0,1,2,18.04,21.97,72,11.0014,2,48,50
2/18/11 7:00,1,0,1,2,17.22,21.21,77,15.0013,8,108,116
2/18/11 8:00,1,0,1,2,17.22,21.21,77,12.998,26,246,272
2/18/11 9:00,1,0,1,2,17.22,21.21,77,12.998,15,154,169
2/18/11 10:00,1,0,1,2,18.04,21.97,72,15.0013,17,78,95
2/18/11 11:00,1,0,1,1,18.04,21.97,72,11.0014,31,82,113
2/18/11 12:00,1,0,1,1,20.5,24.24,59,12.998,59,126,185
2/18/11 13:00,1,0,1,1,24.6,31.06,43,12.998,45,131,176
2/18/11 14:00,1,0,1,1,27.06,31.06,36,19.9995,73,118,191
2/18/11 15:00,1,0,1,1,27.06,31.06,36,22.0028,55,117,172
2/18/11 16:00,1,0,1,1,27.06,31.06,36,19.0012,68,164,232
2/18/11 17:00,1,0,1,1,27.06,31.06,34,23.9994,52,275,327
2/18/11 18:00,1,0,1,1,26.24,31.06,33,22.0028,29,195,224
2/18/11 19:00,1,0,1,1,25.42,31.06,29,39.0007,16,146,162
2/18/11 20:00,1,0,1,1,24.6,31.06,31,12.998,19,105,124
2/18/11 21:00,1,0,1,1,23.78,27.275,21,32.9975,11,61,72
2/18/11 22:00,1,0,1,1,22.14,25.76,10,16.9979,19,88,107
2/18/11 23:00,1,0,1,1,21.32,25,8,19.0012,16,61,77
2/19/11 0:00,1,0,0,1,19.68,23.485,12,32.9975,6,23,29
2/19/11 1:00,1,0,0,1,18.86,22.725,14,27.9993,10,21,31
2/19/11 2:00,1,0,0,1,18.04,21.97,13,26.0027,3,14,17
2/19/11 3:00,1,0,0,1,17.22,21.21,14,19.9995,0,7,7
2/19/11 4:00,1,0,0,1,16.4,20.455,15,22.0028,0,3,3
2/19/11 5:00,1,0,0,1,16.4,20.455,15,22.0028,0,3,3
2/19/11 6:00,1,0,0,1,16.4,20.455,17,27.9993,3,3,6
2/19/11 7:00,1,0,0,1,15.58,19.695,17,35.0008,6,16,22
2/19/11 8:00,1,0,0,1,15.58,19.695,17,39.0007,9,36,45
2/19/11 9:00,1,0,0,1,16.4,20.455,16,43.9989,18,37,55
2/19/11 10:00,1,0,0,1,17.22,21.21,16,39.0007,34,72,106
2/19/11 11:00,1,0,0,1,18.04,21.97,16,39.0007,47,76,123
2/19/11 12:00,1,0,0,1,18.04,21.97,18,32.9975,38,81,119
2/19/11 13:00,1,0,0,1,18.04,21.97,16,40.9973,52,103,155
2/19/11 14:00,1,0,0,1,18.86,22.725,15,43.9989,102,94,196
2/19/11 15:00,1,0,0,1,18.04,21.97,16,50.0021,84,87,171
2/19/11 16:00,1,0,0,1,18.04,21.97,16,43.0006,39,81,120
2/19/11 17:00,1,0,0,1,17.22,21.21,19,40.9973,36,91,127
2/19/11 18:00,1,0,0,1,14.76,15.91,25,30.0026,21,67,88
2/19/11 19:00,1,0,0,1,13.94,15.15,29,23.9994,5,54,59
2/19/11 20:00,1,0,0,1,13.12,14.395,28,35.0008,9,38,47
2/19/11 21:00,1,0,0,1,13.12,13.635,26,36.9974,4,29,33
2/19/11 22:00,1,0,0,1,12.3,12.88,28,32.9975,2,42,44
2/19/11 23:00,1,0,0,1,11.48,12.12,33,30.0026,4,25,29
3/18/11 0:00,1,0,1,1,17.22,21.21,58,19.0012,5,24,29
3/18/11 1:00,1,0,1,1,16.4,20.455,62,16.9979,4,12,16
3/18/11 2:00,1,0,1,1,16.4,20.455,62,12.998,5,9,14
3/18/11 3:00,1,0,1,1,14.76,17.425,71,12.998,1,4,5
3/18/11 5:00,1,0,1,1,15.58,19.695,66,11.0014,2,8,10
3/18/11 6:00,1,0,1,1,16.4,20.455,66,12.998,1,35,36
3/18/11 7:00,1,0,1,1,16.4,20.455,66,12.998,11,112,123
3/18/11 8:00,1,0,1,1,17.22,21.21,67,16.9979,24,256,280
3/18/11 9:00,1,0,1,1,18.86,22.725,63,15.0013,18,192,210
3/18/11 10:00,1,0,1,1,21.32,25,53,19.0012,43,74,117
3/18/11 11:00,1,0,1,1,22.14,25.76,52,19.0012,55,104,159
3/18/11 12:00,1,0,1,2,22.96,26.515,49,23.9994,72,123,195
3/18/11 13:00,1,0,1,1,26.24,31.06,41,19.0012,57,118,175
3/18/11 14:00,1,0,1,1,27.06,31.06,39,16.9979,71,103,174
3/18/11 15:00,1,0,1,2,27.88,31.82,39,23.9994,62,111,173
3/18/11 16:00,1,0,1,1,27.88,31.82,39,19.0012,67,137,204
3/18/11 17:00,1,0,1,1,28.7,31.82,37,22.0028,95,237,332
3/18/11 18:00,1,0,1,1,27.88,31.82,39,11.0014,84,247,331
3/18/11 19:00,1,0,1,1,27.06,31.06,44,8.9981,58,132,190
3/18/11 20:00,1,0,1,1,25.42,31.06,46,8.9981,46,103,149
3/18/11 21:00,1,0,1,1,25.42,31.06,46,7.0015,22,91,113
3/18/11 22:00,1,0,1,1,25.42,31.06,50,11.0014,55,63,118
3/18/11 23:00,1,0,1,2,24.6,31.06,53,15.0013,26,60,86
3/19/11 0:00,1,0,0,2,24.6,31.06,53,16.9979,26,50,76
3/19/11 1:00,1,0,0,2,23.78,27.275,46,23.9994,16,35,51
3/19/11 2:00,1,0,0,2,22.96,26.515,43,15.0013,5,20,25
3/19/11 3:00,1,0,0,2,22.14,25.76,39,22.0028,1,7,8
3/19/11 4:00,1,0,0,1,21.32,25,34,27.9993,1,2,3
3/19/11 5:00,1,0,0,1,21.32,25,34,27.9993,0,2,2
3/19/11 6:00,1,0,0,1,18.04,21.97,44,27.9993,0,10,10
3/19/11 7:00,1,0,0,1,16.4,20.455,50,22.0028,4,9,13
3/19/11 8:00,1,0,0,1,17.22,21.21,47,32.9975,11,37,48
3/19/11 9:00,1,0,0,1,17.22,21.21,44,31.0009,35,41,76
3/19/11 10:00,1,0,0,1,18.04,21.97,38,27.9993,55,85,140
3/19/11 11:00,1,0,0,1,18.86,22.725,36,30.0026,90,106,196
3/19/11 12:00,1,0,0,1,18.86,22.725,33,27.9993,126,141,267
3/19/11 13:00,1,0,0,1,20.5,24.24,34,31.0009,174,127,301
3/19/11 14:00,1,0,0,1,20.5,24.24,31,32.9975,168,144,312
3/19/11 15:00,1,0,0,1,20.5,24.24,29,27.9993,170,143,313
3/19/11 16:00,1,0,0,1,20.5,24.24,31,26.0027,175,129,304
3/19/11 17:00,1,0,0,1,19.68,23.485,31,22.0028,138,140,278
3/19/11 18:00,1,0,0,1,18.86,22.725,31,22.0028,92,125,217
3/19/11 19:00,1,0,0,1,18.04,21.97,33,19.0012,38,116,154
3/19/11 20:00,1,0,0,1,17.22,21.21,35,15.0013,39,69,108
3/19/11 21:00,1,0,0,1,16.4,20.455,37,19.9995,20,73,93
3/19/11 22:00,1,0,0,1,16.4,20.455,37,22.0028,27,45,72
3/19/11 23:00,1,0,0,1,15.58,19.695,40,19.9995,13,37,50
4/18/11 0:00,2,0,1,1,18.86,22.725,47,6.0032,15,24,39
4/18/11 1:00,2,0,1,1,18.86,22.725,47,8.9981,11,8,19
4/18/11 2:00,2,0,1,1,17.22,21.21,67,7.0015,14,2,16
4/18/11 3:00,2,0,1,1,17.22,21.21,62,7.0015,6,1,7
4/18/11 4:00,2,0,1,1,16.4,20.455,87,11.0014,2,4,6
4/18/11 5:00,2,0,1,1,16.4,20.455,76,6.0032,0,16,16
4/18/11 6:00,2,0,1,1,16.4,20.455,82,0,3,51,54
4/18/11 7:00,2,0,1,1,18.86,22.725,63,0,12,156,168
4/18/11 8:00,2,0,1,1,18.86,22.725,63,0,20,277,297
4/18/11 9:00,2,0,1,2,20.5,24.24,55,7.0015,37,132,169
4/18/11 10:00,2,0,1,2,21.32,25,55,7.0015,41,68,109
4/18/11 11:00,2,0,1,2,22.14,25.76,52,6.0032,36,87,123
4/18/11 12:00,2,0,1,2,22.96,26.515,49,6.0032,60,124,184
4/18/11 13:00,2,0,1,2,22.96,26.515,49,11.0014,41,128,169
4/18/11 14:00,2,0,1,2,23.78,27.275,49,12.998,49,95,144
4/18/11 15:00,2,0,1,2,24.6,31.06,43,12.998,64,112,176
4/18/11 16:00,2,0,1,1,24.6,31.06,46,19.0012,40,165,205
4/18/11 17:00,2,0,1,1,23.78,27.275,49,19.0012,66,362,428
4/18/11 18:00,2,0,1,1,26.24,31.06,31,23.9994,41,321,362
